order_id,user_id,sku,quantity,price,total_amount,order_date,status
O20251000049,U20251000824,SKU38519,3,342.14,1026.42,2025-08-12,refunded
O20251000050,U20251000828,SKU40220,3,95.42,286.26,2025-10-01,paid
O20251000051,U20251000940,SKU35445,4,564.61,2258.44,2025-07-24,paid
O20251000052,U20251000862,SKU83389,3,98.62,295.86,2025-09-29,refunded
O20251000053,U20251000544,SKU28489,5,147.84,739.2,2025-09-09,refunded
O20251000054,U20251000387,SKU94359,5,467.08,2335.4,2025-08-25,paid
O20251000055,U20251000221,SKU91495,3,287.82,863.46,2025-07-25,shipped
O20251000056,U20251000159,SKU90737,1,369.62,369.62,2025-10-11,shipped
O20251000057,U20251000538,SKU25057,5,223.6,1118.0,2025-09-01,shipped
O20251000058,U20251000899,SKU95458,2,533.03,1066.06,2025-10-07,refunded
O20251000059,U20251000826,SKU30496,3,510.6,1531.8,2025-10-08,shipped
O20251000060,U20251000351,SKU22504,1,238.5,238.5,2025-08-29,paid
O20251000061,U20251000040,SKU42901,5,291.58,1457.9,2025-10-11,shipped
O20251000062,U20251000540,SKU79156,2,484.29,968.58,2025-07-29,refunded
O20251000063,U20251000959,SKU35411,3,126.26,378.78,2025-08-04,refunded
O20251000064,U20251000709,SKU38136,4,406.38,1625.52,2025-07-30,refunded
O20251000065,U20251000429,SKU67229,1,531.12,531.12,2025-07-29,refunded
O20251000066,U20251000109,SKU22955,5,134.83,674.15,2025-09-21,shipped
O20251000067,U20251000312,SKU79308,1,389.21,389.21,2025-08-22,shipped
O20251000068,U20251000365,SKU61533,2,557.11,1114.22,2025-08-01,refunded
O20251000069,U20251000395,SKU98742,2,337.9,675.8,2025-07-30,shipped
O20251000070,U20251000408,SKU68364,1,284.7,284.7,2025-10-12,refunded
O20251000071,U20251000531,SKU22873,5,183.16,915.8,2025-10-13,refunded
O20251000072,U20251000675,SKU65842,5,537.51,2687.55,2025-09-11,paid
O20251000073,U20251000272,SKU56820,4,236.48,945.92,2025-08-01,paid
O20251000074,U20251000157,SKU92769,2,449.66,899.32,2025-09-18,paid
O20251000075,U20251000086,SKU71234,2,174.12,348.24,2025-08-23,shipped
O20251000076,U20251000626,SKU40968,1,157.2,157.2,2025-09-24,shipped
O20251000077,U20251000174,SKU66572,3,293.85,881.55,2025-08-29,refunded
O20251000078,U20251000811,SKU17200,4,195.64,782.56,2025-09-13,shipped
O20251000079,U20251000407,SKU32149,3,473.28,1419.84,2025-08-14,paid
O20251000080,U20251000538,SKU68283,1,339.28,339.28,2025-08-15,paid
O20251000081,U20251000755,SKU14357,4,439.98,1759.92,2025-10-12,refunded
O20251000082,U20251000319,SKU60426,5,578.0,2890.0,2025-08-07,paid
O20251000083,U20251000910,SKU77572,4,506.58,2026.32,2025-08-10,refunded
O20251000084,U20251000003,SKU22085,3,119.96,359.88,2025-10-03,paid
O20251000085,U20251000908,SKU60289,2,183.57,367.14,2025-09-24,refunded
O20251000086,U20251000532,SKU28460,4,142.05,568.2,2025-08-01,paid
O20251000087,U20251000937,SKU42710,4,152.36,609.44,2025-08-31,refunded
O20251000088,U20251000178,SKU63780,2,398.29,796.58,2025-07-26,paid
O20251000089,U20251000716,SKU31489,5,295.89,1479.45,2025-08-29,refunded
O20251000090,U20251000620,SKU25649,1,174.36,174.36,2025-07-19,paid
O20251000091,U20251000539,SKU17241,4,125.45,501.8,2025-09-05,shipped
O20251000092,U20251000729,SKU60216,5,203.02,1015.1,2025-08-27,refunded
O20251000093,U20251000769,SKU20111,3,622.1,1866.3,2025-10-02,shipped
O20251000094,U20251000586,SKU44602,1,481.78,481.78,2025-09-29,paid
O20251000095,U20251000665,SKU79099,4,325.84,1303.36,2025-08-24,shipped
O20251000096,U20251000867,SKU62366,1,487.41,487.41,2025-07-29,refunded
O20251000097,U20251000262,SKU96468,4,607.65,2430.6,2025-09-20,paid
O20251000098,U20251000683,SKU75248,5,275.51,1377.55,2025-08-25,refunded
O20251000099,U20251000039,SKU72419,5,400.91,2004.55,2025-08-17,paid
O20251000100,U20251000069,SKU36633,3,174.19,522.57,2025-07-21,shipped
O20251000101,U20251000894,SKU72883,3,398.31,1194.93,2025-08-18,refunded
O20251000102,U20251000747,SKU50223,5,118.99,594.95,2025-08-08,paid
O20251000103,U20251000568,SKU85272,3,377.13,1131.39,2025-08-21,refunded
O20251000104,U20251000808,SKU22955,1,134.83,134.83,2025-07-26,paid
O20251000105,U20251000903,SKU38600,1,390.22,390.22,2025-08-11,refunded
O20251000106,U20251000029,SKU86048,3,376.11,1128.33,2025-08-05,shipped
O20251000107,U20251000604,SKU36772,1,453.42,453.42,2025-09-02,shipped
O20251000108,U20251000003,SKU30427,1,493.02,493.02,2025-10-12,shipped
O20251000109,U20251000696,SKU51941,1,529.92,529.92,2025-09-19,shipped
O20251000110,U20251000803,SKU74485,4,585.38,2341.52,2025-07-22,refunded
O20251000111,U20251000304,SKU65281,5,287.48,1437.4,2025-08-06,refunded
O20251000112,U20251000860,SKU17372,5,388.61,1943.05,2025-08-30,paid
O20251000113,U20251000409,SKU41338,5,486.07,2430.35,2025-07-21,refunded
O20251000114,U20251000193,SKU29586,1,154.02,154.02,2025-10-06,shipped
O20251000115,U20251000084,SKU36355,1,431.88,431.88,2025-09-18,refunded
O20251000116,U20251000415,SKU18642,1,318.71,318.71,2025-10-07,refunded
O20251000117,U20251000835,SKU18361,1,275.17,275.17,2025-08-24,refunded
O20251000118,U20251000962,SKU17304,3,314.49,943.47,2025-08-03,paid
O20251000119,U20251000884,SKU92769,1,449.66,449.66,2025-08-17,refunded
O20251000120,U20251000498,SKU36118,4,262.41,1049.64,2025-07-29,paid
O20251000121,U20251000775,SKU39501,5,411.77,2058.85,2025-08-21,refunded
O20251000122,U20251000729,SKU32957,4,195.76,783.04,2025-07-18,shipped
O20251000123,U20251000561,SKU55666,3,386.35,1159.05,2025-07-16,shipped
O20251000124,U20251000880,SKU55115,2,539.52,1079.04,2025-09-05,paid
O20251000125,U20251000025,SKU22536,5,459.12,2295.6,2025-07-29,shipped
O20251000126,U20251000654,SKU59242,2,257.99,515.98,2025-10-03,shipped
O20251000127,U20251000299,SKU41222,3,272.41,817.23,2025-09-11,refunded
O20251000128,U20251000664,SKU30963,5,333.21,1666.05,2025-08-30,paid
O20251000129,U20251000379,SKU74867,1,433.44,433.44,2025-10-03,paid
O20251000130,U20251000760,SKU96854,3,357.92,1073.76,2025-08-19,shipped
O20251000131,U20251000193,SKU25322,2,196.13,392.26,2025-07-19,refunded
O20251000132,U20251000133,SKU33330,2,231.39,462.78,2025-07-27,shipped
O20251000133,U20251000385,SKU68283,3,339.28,1017.84,2025-09-03,refunded
O20251000134,U20251000850,SKU60216,5,203.02,1015.1,2025-07-16,paid
O20251000135,U20251000698,SKU66500,1,434.0,434.0,2025-08-07,paid
O20251000136,U20251000231,SKU80189,1,654.58,654.58,2025-08-17,shipped
O20251000137,U20251000280,SKU65207,2,425.98,851.96,2025-10-07,refunded
O20251000138,U20251000342,SKU89932,2,192.99,385.98,2025-09-03,refunded
O20251000139,U20251000283,SKU92182,2,422.5,845.0,2025-08-26,shipped
O20251000140,U20251000936,SKU14563,2,337.58,675.16,2025-09-30,refunded
O20251000141,U20251000872,SKU33096,5,323.41,1617.05,2025-09-19,paid
O20251000142,U20251000624,SKU33330,5,231.39,1156.95,2025-08-03,refunded
O20251000143,U20251000566,SKU14831,2,266.16,532.32,2025-09-22,paid
O20251000144,U20251000648,SKU85368,2,120.93,241.86,2025-07-29,paid
O20251000145,U20251000863,SKU91484,5,329.83,1649.15,2025-09-07,paid
O20251000146,U20251000411,SKU71234,5,174.12,870.6,2025-09-15,paid
O20251000147,U20251000300,SKU50550,5,504.06,2520.3,2025-10-05,refunded
O20251000148,U20251000201,SKU94687,2,427.35,854.7,2025-07-22,shipped
O20251000149,U20251000741,SKU47576,3,506.29,1518.87,2025-09-05,shipped
O20251000150,U20251000466,SKU99562,5,305.74,1528.7,2025-09-21,refunded
O20251000151,U20251000892,SKU98630,4,235.81,943.24,2025-09-04,shipped
O20251000152,U20251000708,SKU62206,5,434.86,2174.3,2025-08-19,refunded
O20251000153,U20251000548,SKU32172,4,177.96,711.84,2025-09-11,refunded
O20251000154,U20251000923,SKU86242,2,292.68,585.36,2025-07-28,paid
O20251000155,U20251000365,SKU77568,5,285.44,1427.2,2025-10-10,refunded
O20251000156,U20251000078,SKU74368,1,215.07,215.07,2025-08-04,shipped
O20251000157,U20251000692,SKU24722,1,607.4,607.4,2025-09-06,paid
O20251000158,U20251000226,SKU83426,5,454.22,2271.1,2025-09-02,refunded
O20251000159,U20251000486,SKU17384,5,465.81,2329.05,2025-08-22,refunded
O20251000160,U20251000662,SKU16463,4,456.48,1825.92,2025-09-24,paid
O20251000161,U20251000022,SKU57844,1,327.56,327.56,2025-08-18,shipped
O20251000162,U20251000469,SKU20459,1,254.81,254.81,2025-08-03,shipped
O20251000163,U20251000627,SKU23366,1,259.39,259.39,2025-08-17,shipped
O20251000164,U20251000500,SKU99880,3,224.82,674.46,2025-10-03,paid
O20251000165,U20251000537,SKU12768,3,493.95,1481.85,2025-10-08,refunded
O20251000166,U20251000128,SKU61453,4,208.12,832.48,2025-07-25,refunded
O20251000167,U20251000805,SKU40733,3,152.8,458.4,2025-08-01,paid
O20251000168,U20251000304,SKU39506,3,166.32,498.96,2025-07-24,paid
O20251000169,U20251000060,SKU13685,2,188.94,377.88,2025-09-23,paid
O20251000170,U20251000263,SKU69136,5,415.12,2075.6,2025-08-15,refunded
O20251000171,U20251000224,SKU51034,4,270.68,1082.72,2025-07-27,paid
O20251000172,U20251000312,SKU33034,2,410.44,820.88,2025-09-17,shipped
O20251000173,U20251000816,SKU67721,1,158.35,158.35,2025-09-06,paid
O20251000174,U20251000399,SKU39242,1,141.16,141.16,2025-07-30,refunded
O20251000175,U20251000441,SKU31449,1,498.55,498.55,2025-09-01,refunded
O20251000176,U20251000447,SKU50550,5,504.06,2520.3,2025-09-16,refunded
O20251000177,U20251000091,SKU62206,3,434.86,1304.58,2025-08-20,paid
O20251000178,U20251000695,SKU12026,4,190.39,761.56,2025-10-05,paid
O20251000179,U20251000701,SKU40968,3,157.2,471.6,2025-09-16,refunded
O20251000180,U20251000948,SKU80835,1,487.53,487.53,2025-09-03,paid
O20251000181,U20251000176,SKU54859,1,370.54,370.54,2025-10-08,paid
O20251000182,U20251000393,SKU35215,1,245.66,245.66,2025-09-27,paid
O20251000183,U20251000174,SKU34024,3,467.9,1403.7,2025-07-29,paid
O20251000184,U20251000226,SKU56764,2,373.93,747.86,2025-09-12,paid
O20251000185,U20251000089,SKU97843,2,223.93,447.86,2025-08-06,paid
O20251000186,U20251000971,SKU75319,2,424.02,848.04,2025-09-23,refunded
O20251000187,U20251000305,SKU87732,4,504.5,2018.0,2025-09-12,refunded
O20251000188,U20251000386,SKU31569,2,533.06,1066.12,2025-08-19,paid
O20251000189,U20251000689,SKU83276,2,387.78,775.56,2025-08-15,paid
O20251000190,U20251000899,SKU52494,4,258.54,1034.16,2025-09-02,paid
O20251000191,U20251000712,SKU94998,4,492.4,1969.6,2025-07-20,shipped
O20251000192,U20251000420,SKU83389,5,98.62,493.1,2025-07-22,shipped
O20251000193,U20251000317,SKU93022,1,505.61,505.61,2025-09-16,shipped
O20251000194,U20251000724,SKU93004,2,523.43,1046.86,2025-08-03,shipped
O20251000195,U20251000325,SKU89418,2,210.64,421.28,2025-09-07,shipped
O20251000196,U20251000640,SKU50867,1,512.11,512.11,2025-09-01,shipped
O20251000197,U20251000045,SKU21882,3,605.17,1815.51,2025-08-30,paid
O20251000198,U20251000773,SKU45890,5,598.53,2992.65,2025-08-12,shipped
O20251000199,U20251000294,SKU46366,1,565.65,565.65,2025-09-14,paid
O20251000200,U20251000816,SKU16214,3,186.84,560.52,2025-09-14,shipped
O20251000201,U20251000320,SKU74820,5,515.31,2576.55,2025-08-12,shipped
O20251000202,U20251000110,SKU63365,4,657.58,2630.32,2025-07-17,shipped
O20251000203,U20251000195,SKU31197,4,390.24,1560.96,2025-08-20,paid
O20251000204,U20251000440,SKU20072,1,398.4,398.4,2025-09-06,shipped
O20251000205,U20251000091,SKU97295,3,179.54,538.62,2025-09-12,shipped
O20251000206,U20251000820,SKU68919,2,140.82,281.64,2025-10-01,shipped
O20251000207,U20251000625,SKU40002,3,389.51,1168.53,2025-08-24,shipped
O20251000208,U20251000162,SKU43379,4,227.42,909.68,2025-09-25,shipped
O20251000209,U20251000486,SKU51481,3,492.63,1477.89,2025-10-06,shipped
O20251000210,U20251000256,SKU97843,5,223.93,1119.65,2025-09-13,refunded
O20251000211,U20251000546,SKU34405,5,586.73,2933.65,2025-10-13,shipped
O20251000212,U20251000497,SKU56475,1,243.21,243.21,2025-10-03,refunded
O20251000213,U20251000095,SKU75843,4,513.1,2052.4,2025-07-24,paid
O20251000214,U20251000673,SKU72283,4,136.22,544.88,2025-09-17,paid
O20251000215,U20251000728,SKU68361,2,304.98,609.96,2025-09-27,refunded
O20251000216,U20251000096,SKU35323,4,344.66,1378.64,2025-10-11,shipped
O20251000217,U20251000159,SKU38075,4,434.13,1736.52,2025-08-19,refunded
O20251000218,U20251000441,SKU32039,4,528.19,2112.76,2025-07-29,refunded
O20251000219,U20251000756,SKU27897,2,381.83,763.66,2025-08-05,paid
O20251000220,U20251000337,SKU39501,1,411.77,411.77,2025-08-23,refunded
O20251000221,U20251000761,SKU87028,3,369.74,1109.22,2025-08-27,paid
O20251000222,U20251000075,SKU80653,5,407.3,2036.5,2025-10-03,shipped
O20251000223,U20251000112,SKU44688,1,570.57,570.57,2025-09-10,paid
O20251000224,U20251000558,SKU22955,4,134.83,539.32,2025-08-31,refunded
O20251000225,U20251000453,SKU97297,2,682.49,1364.98,2025-08-18,shipped
O20251000226,U20251000746,SKU90758,1,272.29,272.29,2025-10-05,paid
O20251000227,U20251000663,SKU56465,2,299.81,599.62,2025-09-26,refunded
O20251000228,U20251000424,SKU89810,1,529.67,529.67,2025-09-09,paid
O20251000229,U20251000209,SKU62366,1,487.41,487.41,2025-08-05,refunded
O20251000230,U20251000254,SKU52923,1,448.73,448.73,2025-09-15,paid
O20251000231,U20251000659,SKU38367,2,410.71,821.42,2025-09-25,refunded
O20251000232,U20251000711,SKU75480,2,272.97,545.94,2025-10-10,refunded
O20251000233,U20251000173,SKU69527,3,649.74,1949.22,2025-10-09,paid
O20251000234,U20251000195,SKU17859,4,365.42,1461.68,2025-08-11,paid
O20251000235,U20251000688,SKU58862,2,298.11,596.22,2025-09-26,shipped
O20251000236,U20251000155,SKU10454,4,341.39,1365.56,2025-09-16,paid
O20251000237,U20251000100,SKU74517,1,338.38,338.38,2025-08-12,refunded
O20251000238,U20251000441,SKU14316,3,186.44,559.32,2025-09-02,refunded
O20251000239,U20251000412,SKU78892,3,198.08,594.24,2025-09-21,refunded
O20251000240,U20251000897,SKU83276,1,387.78,387.78,2025-08-08,refunded
O20251000241,U20251000989,SKU24153,1,184.59,184.59,2025-09-02,shipped
O20251000242,U20251000128,SKU44937,5,408.32,2041.6,2025-10-13,paid
O20251000243,U20251000594,SKU72482,3,479.5,1438.5,2025-08-14,paid
O20251000244,U20251000281,SKU24641,5,564.12,2820.6,2025-07-28,paid
O20251000245,U20251000829,SKU95396,5,465.03,2325.15,2025-08-26,shipped
O20251000246,U20251000367,SKU85179,1,415.96,415.96,2025-08-08,shipped
O20251000247,U20251000973,SKU47811,4,603.76,2415.04,2025-08-07,paid
O20251000248,U20251000868,SKU74867,2,433.44,866.88,2025-08-07,paid
O20251000249,U20251000992,SKU65281,1,287.48,287.48,2025-09-03,paid
O20251000250,U20251000824,SKU36449,2,120.21,240.42,2025-09-11,shipped
O20251000251,U20251000337,SKU71714,3,187.78,563.34,2025-07-19,shipped
O20251000252,U20251000407,SKU85187,4,381.34,1525.36,2025-08-27,refunded
O20251000253,U20251000735,SKU41222,4,272.41,1089.64,2025-08-16,refunded
O20251000254,U20251000304,SKU12532,2,294.55,589.1,2025-08-19,refunded
O20251000255,U20251000598,SKU31449,4,498.55,1994.2,2025-07-16,shipped
O20251000256,U20251000372,SKU77568,4,285.44,1141.76,2025-08-01,shipped
O20251000257,U20251000205,SKU37471,2,158.14,316.28,2025-10-13,shipped
O20251000258,U20251000054,SKU83389,4,98.62,394.48,2025-09-13,refunded
O20251000259,U20251000190,SKU55339,2,179.91,359.82,2025-07-17,shipped
O20251000260,U20251000467,SKU71998,5,243.69,1218.45,2025-09-20,shipped
O20251000261,U20251000558,SKU95091,5,412.5,2062.5,2025-08-09,shipped
O20251000262,U20251000896,SKU40262,4,487.73,1950.92,2025-07-23,refunded
O20251000263,U20251000521,SKU36903,1,125.61,125.61,2025-10-09,refunded
O20251000264,U20251000215,SKU41338,4,486.07,1944.28,2025-09-18,shipped
O20251000265,U20251000991,SKU33163,3,635.52,1906.56,2025-09-13,shipped
O20251000266,U20251000054,SKU71391,1,259.48,259.48,2025-07-22,paid
O20251000267,U20251000417,SKU84516,5,122.52,612.6,2025-07-29,shipped
O20251000268,U20251000556,SKU32358,5,212.61,1063.05,2025-07-24,shipped
O20251000269,U20251000297,SKU19900,2,427.42,854.84,2025-08-01,paid
O20251000270,U20251000588,SKU93004,5,523.43,2617.15,2025-09-10,shipped
O20251000271,U20251000047,SKU76203,2,525.91,1051.82,2025-07-27,refunded
O20251000272,U20251000795,SKU83644,5,516.24,2581.2,2025-07-28,shipped
O20251000273,U20251000000,SKU92588,1,382.0,382.0,2025-10-10,paid
O20251000274,U20251000129,SKU61140,5,231.5,1157.5,2025-10-03,shipped
O20251000275,U20251000749,SKU81499,1,361.13,361.13,2025-07-21,refunded
O20251000276,U20251000152,SKU95463,2,133.16,266.32,2025-08-25,refunded
O20251000277,U20251000185,SKU76713,2,354.66,709.32,2025-09-13,refunded
O20251000278,U20251000645,SKU58504,1,597.19,597.19,2025-07-18,shipped
O20251000279,U20251000150,SKU24585,1,381.99,381.99,2025-07-30,paid
O20251000280,U20251000805,SKU50223,3,118.99,356.97,2025-09-28,refunded
O20251000281,U20251000735,SKU72991,5,537.76,2688.8,2025-10-12,shipped
O20251000282,U20251000213,SKU84560,2,250.75,501.5,2025-10-06,paid
O20251000283,U20251000475,SKU34721,3,472.89,1418.67,2025-09-23,shipped
O20251000284,U20251000636,SKU63323,3,514.62,1543.86,2025-10-01,shipped
O20251000285,U20251000777,SKU24585,1,381.99,381.99,2025-09-17,paid
O20251000286,U20251000312,SKU95222,3,528.32,1584.96,2025-09-15,paid
O20251000287,U20251000841,SKU78521,3,398.97,1196.91,2025-10-10,paid
O20251000288,U20251000250,SKU42901,1,291.58,291.58,2025-07-29,shipped
O20251000289,U20251000568,SKU78990,4,429.13,1716.52,2025-09-13,paid
O20251000290,U20251000909,SKU85476,1,328.08,328.08,2025-08-21,refunded
O20251000291,U20251000569,SKU68919,4,379.61,1518.44,2025-08-12,refunded
O20251000292,U20251000493,SKU61966,1,584.58,584.58,2025-09-07,paid
O20251000293,U20251000994,SKU60216,4,203.02,812.08,2025-07-29,paid
O20251000294,U20251000473,SKU50274,4,201.47,805.88,2025-09-22,shipped
O20251000295,U20251000219,SKU93022,3,505.61,1516.83,2025-10-05,paid
O20251000296,U20251000347,SKU23839,1,358.28,358.28,2025-07-21,refunded
O20251000297,U20251000463,SKU81315,2,476.99,953.98,2025-09-02,refunded
O20251000298,U20251000283,SKU85363,2,361.03,722.06,2025-08-03,refunded
O20251000299,U20251000029,SKU54185,3,431.93,1295.79,2025-08-24,shipped
O20251000300,U20251000299,SKU58296,5,470.62,2353.1,2025-08-12,paid
O20251000301,U20251000924,SKU40385,4,574.08,2296.32,2025-08-26,refunded
O20251000302,U20251000759,SKU36872,1,507.62,507.62,2025-08-12,paid
O20251000303,U20251000245,SKU62206,4,434.86,1739.44,2025-08-22,shipped
O20251000304,U20251000478,SKU42901,1,291.58,291.58,2025-07-17,paid
O20251000305,U20251000523,SKU46846,3,144.3,432.9,2025-10-09,refunded
O20251000306,U20251000060,SKU13310,3,310.56,931.68,2025-09-24,shipped
O20251000307,U20251000658,SKU78990,4,429.13,1716.52,2025-08-22,refunded
O20251000308,U20251000658,SKU98291,4,368.41,1473.64,2025-08-07,shipped
O20251000309,U20251000276,SKU49923,2,519.18,1038.36,2025-09-15,shipped
O20251000310,U20251000517,SKU19257,4,550.57,2202.28,2025-09-17,refunded
O20251000311,U20251000957,SKU37870,2,146.63,293.26,2025-09-03,refunded
O20251000312,U20251000730,SKU36872,3,507.62,1522.86,2025-09-14,paid
O20251000313,U20251000791,SKU46733,2,436.16,872.32,2025-10-10,shipped
O20251000314,U20251000060,SKU72419,1,400.91,400.91,2025-07-19,paid
O20251000315,U20251000375,SKU65077,5,509.01,2545.05,2025-10-01,paid
O20251000316,U20251000643,SKU73038,1,288.78,288.78,2025-08-23,paid
O20251000317,U20251000864,SKU80787,3,531.99,1595.97,2025-07-29,paid
O20251000318,U20251000842,SKU16214,3,186.84,560.52,2025-09-29,shipped
O20251000319,U20251000950,SKU55303,2,242.85,485.7,2025-08-10,shipped
O20251000320,U20251000785,SKU36207,1,276.88,276.88,2025-09-04,paid
O20251000321,U20251000250,SKU87822,1,503.95,503.95,2025-10-08,refunded
O20251000322,U20251000090,SKU96468,4,607.65,2430.6,2025-07-24,refunded
O20251000323,U20251000693,SKU83038,1,185.88,185.88,2025-09-20,paid
O20251000324,U20251000439,SKU54859,3,370.54,1111.62,2025-08-20,shipped
O20251000325,U20251000544,SKU68883,3,158.96,476.88,2025-09-12,refunded
O20251000326,U20251000205,SKU69136,4,415.12,1660.48,2025-09-03,shipped
O20251000327,U20251000345,SKU59819,2,371.88,743.76,2025-08-03,paid
O20251000328,U20251000186,SKU17302,2,471.15,942.3,2025-10-11,refunded
O20251000329,U20251000415,SKU73519,2,661.48,1322.96,2025-08-14,shipped
O20251000330,U20251000126,SKU60216,4,203.02,812.08,2025-09-03,refunded
O20251000331,U20251000390,SKU55115,1,539.52,539.52,2025-10-09,refunded
O20251000332,U20251000861,SKU77333,1,603.29,603.29,2025-09-25,refunded
O20251000333,U20251000181,SKU33428,5,264.49,1322.45,2025-10-11,shipped
O20251000334,U20251000091,SKU87717,5,235.02,1175.1,2025-08-20,paid
O20251000335,U20251000001,SKU33429,2,256.29,512.58,2025-09-10,refunded
O20251000336,U20251000574,SKU37117,4,621.7,2486.8,2025-08-14,refunded
O20251000337,U20251000096,SKU75626,4,265.4,1061.6,2025-07-22,paid
O20251000338,U20251000596,SKU82862,3,486.51,1459.53,2025-09-15,shipped
O20251000339,U20251000666,SKU35411,4,126.26,505.04,2025-10-03,refunded
O20251000340,U20251000244,SKU47715,1,663.5,663.5,2025-08-11,refunded
O20251000341,U20251000562,SKU21260,2,404.33,808.66,2025-08-31,paid
O20251000342,U20251000645,SKU31128,1,331.05,331.05,2025-08-11,refunded
O20251000343,U20251000113,SKU71234,5,174.12,870.6,2025-08-07,shipped
O20251000344,U20251000485,SKU68061,1,536.39,536.39,2025-08-20,shipped
O20251000345,U20251000496,SKU25683,4,315.36,1261.44,2025-09-04,paid
O20251000346,U20251000532,SKU51078,2,308.72,617.44,2025-08-13,refunded
O20251000347,U20251000570,SKU31128,1,331.05,331.05,2025-09-18,refunded
O20251000348,U20251000922,SKU66184,3,192.78,578.34,2025-08-28,refunded
O20251000349,U20251000042,SKU85854,2,565.87,1131.74,2025-09-12,paid
O20251000350,U20251000705,SKU86379,3,530.12,1590.36,2025-08-20,paid
O20251000351,U20251000741,SKU88133,5,535.95,2679.75,2025-09-16,shipped
O20251000352,U20251000127,SKU34700,5,205.24,1026.2,2025-08-21,paid
O20251000353,U20251000846,SKU82312,4,221.74,886.96,2025-08-05,paid
O20251000354,U20251000771,SKU99059,3,257.82,773.46,2025-07-31,refunded
O20251000355,U20251000732,SKU28460,1,142.05,142.05,2025-07-19,shipped
